"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","totalDischarge","flowTime_EST"
"2024-08-27 09:41:00","UNDERHILL","day",45,NA,"Pool",NA,"Right",NA,"Sand,Rock","Fully shaded",-72.3273013333333,42.445348,"Unsuccessful at finding shed tag","iPad",0.03,"2024-08-27 10:16:23"
"2024-08-27 10:32:00","UNDERHILL","day",44,NA,"Pool",NA,"Center",NA,"Sand,Rock","Mostly shaded",-72.3280481666667,42.4449221666667,"Unsuccessful at finding shed tag","iPad",0.03,"2024-08-27 10:16:23"
"2024-08-27 12:19:00","UNDERHILL","day",35,NA,"Pool",NA,"Center",NA,"Boulder,Rock,Granule,Pebble","Mostly shaded",-72.329287,42.4435883333333,"Unsuccessful at finding shed tag. It is most likely located in a hole under this rock","iPad",0.03,"2024-08-27 10:16:23"
"2024-08-27 09:16:33","DRY UPPER","day",16,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:21:27","UNDERHILL","day",45,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:22:07","UNDERHILL","day",45,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:22:28","UNDERHILL","day",45,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:22:47","UNDERHILL","day",45,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:23:07","UNDERHILL","day",45,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:23:27","UNDERHILL","day",45,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:23:47","UNDERHILL","day",45,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:24:07","UNDERHILL","day",45,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:24:27","UNDERHILL","day",45,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:24:47","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:06:08","UNDERHILL","day",45,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:07:28","UNDERHILL","day",45,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:22:09","UNDERHILL","day",44,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:23:09","UNDERHILL","day",44,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:23:29","UNDERHILL","day",44,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:25:49","UNDERHILL","day",44,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:27:29","UNDERHILL","day",44,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:28:08","UNDERHILL","day",44,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:29:49","UNDERHILL","day",44,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:30:09","UNDERHILL","day",44,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:38:27","UNDERHILL","day",44,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:48:09","UNDERHILL","day",44,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 10:55:49","UNDERHILL","day",44,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 11:50:52","UNDERHILL","day",35,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 11:58:12","UNDERHILL","day",35,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 12:02:32","UNDERHILL","day",35,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 12:02:52","UNDERHILL","day",35,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 12:03:12","UNDERHILL","day",35,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 12:03:32","UNDERHILL","day",35,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 12:04:52","UNDERHILL","day",35,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 12:26:32","UNDERHILL","day",35,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiver",NA,NA
"2024-08-27 09:25:09","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3276533,42.4451517,NA,"receiver",NA,NA
"2024-08-27 09:25:29","UNDERHILL","day",45,206,NA,NA,NA,NA,NA,NA,-72.3275183,42.445205,NA,"receiver",NA,NA
"2024-08-27 09:26:09","UNDERHILL","day",45,206,NA,NA,NA,NA,NA,NA,-72.3274833,42.4452283,NA,"receiver",NA,NA
"2024-08-27 09:26:29","UNDERHILL","day",45,206,NA,NA,NA,NA,NA,NA,-72.3274964,42.44523,NA,"receiver",NA,NA
"2024-08-27 09:26:49","UNDERHILL","day",45,206,NA,NA,NA,NA,NA,NA,-72.3274983,42.4452333,NA,"receiver",NA,NA
"2024-08-27 09:27:09","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274783,42.445235,NA,"receiver",NA,NA
"2024-08-27 09:27:29","UNDERHILL","day",45,201,NA,NA,NA,NA,NA,NA,-72.3274767,42.4452517,NA,"receiver",NA,NA
"2024-08-27 09:27:49","UNDERHILL","day",45,200,NA,NA,NA,NA,NA,NA,-72.3274933,42.4452233,NA,"receiver",NA,NA
"2024-08-27 09:28:09","UNDERHILL","day",45,201,NA,NA,NA,NA,NA,NA,-72.3275017,42.44522,NA,"receiver",NA,NA
"2024-08-27 09:28:28","UNDERHILL","day",45,203,NA,NA,NA,NA,NA,NA,-72.3275067,42.4452133,NA,"receiver",NA,NA
"2024-08-27 09:28:48","UNDERHILL","day",45,191,NA,NA,NA,NA,NA,NA,-72.3275081,42.4451883,NA,"receiver",NA,NA
"2024-08-27 09:29:08","UNDERHILL","day",45,193,NA,NA,NA,NA,NA,NA,-72.327535,42.4451417,NA,"receiver",NA,NA
"2024-08-27 09:29:28","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3275383,42.4451733,NA,"receiver",NA,NA
"2024-08-27 09:29:48","UNDERHILL","day",45,191,NA,NA,NA,NA,NA,NA,-72.3275283,42.44517,NA,"receiver",NA,NA
"2024-08-27 09:30:28","UNDERHILL","day",45,203,NA,NA,NA,NA,NA,NA,-72.3274933,42.4451567,NA,"receiver",NA,NA
"2024-08-27 09:30:48","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274767,42.445165,NA,"receiver",NA,NA
"2024-08-27 09:31:08","UNDERHILL","day",45,171,NA,NA,NA,NA,NA,NA,-72.3274733,42.4451917,NA,"receiver",NA,NA
"2024-08-27 09:31:28","UNDERHILL","day",45,185,NA,NA,NA,NA,NA,NA,-72.3274847,42.4451967,NA,"receiver",NA,NA
"2024-08-27 09:31:48","UNDERHILL","day",45,176,NA,NA,NA,NA,NA,NA,-72.3275017,42.44519,NA,"receiver",NA,NA
"2024-08-27 09:32:08","UNDERHILL","day",45,198,NA,NA,NA,NA,NA,NA,-72.3274847,42.4451983,NA,"receiver",NA,NA
"2024-08-27 09:32:48","UNDERHILL","day",45,178,NA,NA,NA,NA,NA,NA,-72.3273483,42.4452417,NA,"receiver",NA,NA
"2024-08-27 09:33:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.327355,42.4452417,NA,"receiver",NA,NA
"2024-08-27 09:33:28","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3273667,42.4452517,NA,"receiver",NA,NA
"2024-08-27 09:33:48","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3273583,42.4452683,NA,"receiver",NA,NA
"2024-08-27 09:34:08","UNDERHILL","day",45,198,NA,NA,NA,NA,NA,NA,-72.3273731,42.4452783,NA,"receiver",NA,NA
"2024-08-27 09:34:28","UNDERHILL","day",45,194,NA,NA,NA,NA,NA,NA,-72.327375,42.4452683,NA,"receiver",NA,NA
"2024-08-27 09:35:08","UNDERHILL","day",45,199,NA,NA,NA,NA,NA,NA,-72.3273983,42.4451983,NA,"receiver",NA,NA
"2024-08-27 09:35:28","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3273867,42.4452083,NA,"receiver",NA,NA
"2024-08-27 09:35:48","UNDERHILL","day",45,199,NA,NA,NA,NA,NA,NA,-72.3273767,42.4451967,NA,"receiver",NA,NA
"2024-08-27 09:36:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274267,42.445195,NA,"receiver",NA,NA
"2024-08-27 09:36:28","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3273983,42.445225,NA,"receiver",NA,NA
"2024-08-27 09:36:48","UNDERHILL","day",45,173,NA,NA,NA,NA,NA,NA,-72.3273717,42.4452917,NA,"receiver",NA,NA
"2024-08-27 09:37:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.327375,42.4453,NA,"receiver",NA,NA
"2024-08-27 09:37:28","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3273917,42.4453117,NA,"receiver",NA,NA
"2024-08-27 09:37:48","UNDERHILL","day",45,196,NA,NA,NA,NA,NA,NA,-72.3274217,42.4453183,NA,"receiver",NA,NA
"2024-08-27 09:38:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.327475,42.4451967,NA,"receiver",NA,NA
"2024-08-27 09:38:28","UNDERHILL","day",45,198,NA,NA,NA,NA,NA,NA,-72.3274817,42.4452367,NA,"receiver",NA,NA
"2024-08-27 09:38:48","UNDERHILL","day",45,195,NA,NA,NA,NA,NA,NA,-72.3274433,42.4452633,NA,"receiver",NA,NA
"2024-08-27 09:39:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274617,42.44527,NA,"receiver",NA,NA
"2024-08-27 09:39:28","UNDERHILL","day",45,206,NA,NA,NA,NA,NA,NA,-72.32747,42.4453,NA,"receiver",NA,NA
"2024-08-27 09:39:48","UNDERHILL","day",45,173,NA,NA,NA,NA,NA,NA,-72.327465,42.4453717,NA,"receiver",NA,NA
"2024-08-27 09:40:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.32743,42.4453933,NA,"receiver",NA,NA
"2024-08-27 09:40:28","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274347,42.4454,NA,"receiver",NA,NA
"2024-08-27 09:40:48","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274617,42.4454067,NA,"receiver",NA,NA
"2024-08-27 09:41:28","UNDERHILL","day",45,162,NA,NA,NA,NA,NA,NA,-72.3274847,42.4454233,NA,"receiver",NA,NA
"2024-08-27 09:41:48","UNDERHILL","day",45,177,NA,NA,NA,NA,NA,NA,-72.3274933,42.4454233,NA,"receiver",NA,NA
"2024-08-27 09:42:08","UNDERHILL","day",45,177,NA,NA,NA,NA,NA,NA,-72.3274933,42.4454233,NA,"receiver",NA,NA
"2024-08-27 09:42:28","UNDERHILL","day",45,171,NA,NA,NA,NA,NA,NA,-72.3274983,42.4454117,NA,"receiver",NA,NA
"2024-08-27 09:42:48","UNDERHILL","day",45,188,NA,NA,NA,NA,NA,NA,-72.3274833,42.4453967,NA,"receiver",NA,NA
"2024-08-27 09:43:08","UNDERHILL","day",45,207,NA,NA,NA,NA,NA,NA,-72.3274817,42.4453883,NA,"receiver",NA,NA
"2024-08-27 09:43:28","UNDERHILL","day",45,206,NA,NA,NA,NA,NA,NA,-72.3274914,42.4453933,NA,"receiver",NA,NA
